name,content,stars,upvote,time,location
Chaos,非常好电影，爱来自北大。不要说什么“性别是一种处境”了，这个父亲只不过承受了普通母亲50%不到的处境，居然就受不了了，这心理也太脆弱了吧。试想如果是母亲疏忽把孩子弄残疾了，她这辈子还敢抱怨一句自己没时间顾事业？呵呵。,4,70,2024/4/1,日本
阿勒泰大尾驴,喜欢这部电影到什么程度呢，它居然能如此精妙地和我最近一些生活中的片段契合，并且让我一度厌男极度政治不正确到觉得这个男的死了就死了，能不能别浪费资源搞这些有的没的折磨活着的人了？作为女性，对于男女主那段争吵实在太能感同身受了，情绪稳定地接受“monster ”“cold heart”“ice”等一系列评价，再被一步步逼到撕开男人的丑恶嘴脸，我们不是不懂，只是大多数时候还想留点体面，就像女主一直说的，有这吵架的时间干点正事不好吗。我现在越来越觉得，男性的情绪其实更不稳定，因为他们要一天天感受自己权力的失衡，别着急，慢慢感受吧，后面的日子还长着呢。,5,98,2023/11/6,北京
孙温爷,非常强的剧本，对婚姻关系的抽丝剥茧比婚姻故事更幽深更暧昧。讲一个点哈，公诉人中间有段发言感动到我了，为无法发声的死者奋力一搏的感觉。 看完觉得人家这个司法体系、儿童保护、社会支持做的真好啊，在这儿不得分分钟撒狗血…,5,80,2023/10/29,北京
老二,小朋友的童年在法庭上结束了。,4,37,2024/2/4,云南
铁观音,她唯一的过错只不过是在她丈夫失败的领域取得了成功。,5,75,2024/4/5,河南
Morning,信息类电影，但无比有魅力，80%的对白都是客观的，却拍出了主观的灵动，这是导演的无敌，全然不靠幻觉、梦境、主观镜头这样来触碰人物内心，她在议题里就轻松得完成了一切。Sandra在提到Daniel的意外时，镜头从客观的中景变成了给嘴部的特写，这就是她的技巧，播放录音，两人吵架的戏切入时，也变成了近景，都是通过这样的镜头运用去改变影片的表达， 好的摄影并不是要去炫技，要生硬的长镜头，它为内容服务，更为人物和表达的情感服务，在这个过程里也是完成了剧本创作的一部分。我很喜欢这部电影，它好像就像我随身携带的一本小书，不是巨著，却依然精妙，我坐在长椅上等人，将它掏出口袋，一本小书，却如此堂皇。很感动，一部电影拍得这样漂亮。,5,45,2024/2/29,北京
Aloysha,是对二元论、认知复杂性的惰性最强有力的回击。以悬疑性展开，律政戏讲述，内核又是伦理片。开场就以暧昧的姿态与主流影片划清了界限，之后平滑过渡到一个又一个包裹着职业性、两性关系的议题的疑点；司法程序的剖析，法律是讲述的艺术，同时也是需要想象的艺术（没有绝对人、物证前提下）；影片成立最大也是唯一的前提是桑德拉·惠勒。你会相信她的无辜与隐忍，但同时也会注意到她的世故与野心；你会感受到她的性情流露，事实证明她也许擅长以此操纵；没人怀疑她对丹尼尔的爱，但创作功利一样值得注意和怀疑；习得外语是不得不选择面对现实和陪伴儿子，还是更有利于作无罪的辩护……回避复杂性，放大任意一个消极面，现实中的你我皆是野兽。,5,65,2023/10/17,云南
#若水#,律师在辩护之后，女主低语：他不是那样的。亲密关系之复杂难以言喻。人在破碎的时候会对自己亲密的人们产生如此摧枯拉朽的伤害（身体和心理意义上）。,5,111,2024/3/30,广东
布卤,一个作家杀死丈夫比一个男人自杀吸引人多了。法庭上旁听者在法官外出那短暂的几秒笑着兴奋着讨论，电视上评论者们兴致勃勃分析作家的书和坠楼事件的关联。记者们迫不及待地要得到一个结果。大家都期待着，女作家杀了丈夫。他们不关心事实也不想运用理智。只有孩子真的关心，真的在思考，究竟是不是妈妈干的。因为这个他切身相关，他只剩这一个亲人了。最终，他做出了一个选择。法律有时候不关乎真相，关乎选择。,5,55,2024/1/6,辽宁
伯樵·阿苏勒,非常标准的中产阶级家庭危机电影，在荒诞闹剧和冷峻戏剧的两种中产阶级电影的常规方案中，选了后者~问题就是太程式化了，小说家的身份、跨语际自辩、失明的目击者、玻璃钟形罩式的监护保姆、无影像/有影像的录音、父亲对嘴型般的童声声优......问题就在于太标准了，与本片片名相通，这像是拍给社会科学家、文化评论家、家庭民族志写作者看的电影——家庭问题病理学报告电影，但其实没探讨什么特别实质（就像片名所说的，死亡剖析剖析的是死因，但并不剖析生命/人生，《坠落》探讨了151分钟的婚姻破裂的结果，却没探讨为什么会有这样一段婚姻，为何这段婚姻会走到这一步）。不过算是这几年少数的议题感没那么强的参赛片~,3,48,2023/10/20,上海
面包上的黄油,女导演拍就是好哇 全程没有感到被凝视和被冒犯☺️,4,91,2024/3/30,中国台湾
Wendy Zhu,以一种与传统性别结构倒置的状态，呈现了通过能力和社会地位决定家庭分工的双重可能性：自我牺牲和剥削可能同时存在，就像自杀和他杀皆有可能。可悲的是，在婚姻状态中的自杀和他杀，结果都是双输。,5,78,2024/2/18,上海
水原千鹤,"2023JFF+线上影展影片之一。去年在线放映的时候保存了却一直没看，在状态还算好的还好终于看了。
共鸣过多，中间一度想流泪。少女的成长就要接受少女的平凡，能坦诚面对心里的声音是很难的一件事。在这种迷惘中，被他人敏感察觉到了自己的窘迫（溺水），之后又看到了希望的种子，哪怕于己并无利害关联，仍热切地希望它生根发芽，于是一艘重建的方舟、一个画画的梦想、一个新生的婴孩便成了种子。
不被爱的少女起初以为遥不可及的缪斯，也终于在缪斯身上找到了爱与被爱的可能性，少女间的感情突然有了神性。一个雨夜，突然间，少年们都学会了爱与坦诚、宽容与谅解。
有的画面意思很明显，我觉得也符合基调，少年的理解本来就单纯、质朴，有时候真就是在那么几个瞬间长大的。优秀的独立电影。",5,0,2024/3/27,北京
高尔吉亚,若杉凩很有气质,4,0,2023/9/2,上海
鬼腳七,也不说拍得好不好吧，主要是这也太老套了，青春就是推着废品拼凑的船在沙地上尴尬前行。,3,0,2023/10/31,北京
______clmsy,#jff 如果不是因为选角 可能还能看的下去,1,0,2023/10/29,美国
颜落寒,甜甜的。是我（们）的海。爱才不可怕。也没那么容易在青春期溺死。妳们这些搞艺术的姬佬都好别扭（笑）。,4,0,2023/8/22,江苏
匣中猫,可爱灵动的青春小品。女主角第一眼总觉得也太原生态得罪化妆师啦，结果随着这种DIY味十足的独立电影步调，逐渐有了生活化的文淇的感觉，而最后的交叉剪辑也很细腻地将少女情怀写成诗，尽管其实铺陈不是很有信服力，但后面情绪确实有到位。3.5归4。,4,0,2023/10/31,广东
Galois,蛮温馨的，i人有被暖到,3,0,2023/11/26,广东
热情华夫饼,年度最佳片名。要素略多而显得杂乱，不过les线写得非常好，表达完整情绪有效。女主撞脸拉宏桑。,3,0,2024/2/22,江苏
tks_jugem2,上原实矩真的女神,5,0,2024/3/26,安徽
西域浪人,一杯索然無味的白開水,3,0,2023/9/10,新疆
冻态青柠,領花！,4,0,2023/10/28,广东
xlL,搞的老夫想画少女肖像 （少女间萌动的纯爱啊 手牵手看拆房的有些文学味的（森田想真的厉害 同一年演JK也演OL 都完全胜任 可怕,4,1,2023/10/27,陕西
@大月半子,姬情萌动期，呵呵,3,0,2023/11/26,北京
taetae的,3.5 声音设计,4,0,2023/10/28,韩国
MIK,【JFF+】虽然有许多制作粗糙的地方，但不断呈现出令人惊艳的片段，拆解-重组、一瞬间的释然、温柔的拥抱、暴雨天的逃跑，让我对着电脑屏幕冒出幸福的泡泡。,4,0,2023/8/25,四川
Pom,みくの作品！,4,0,2023/5/5,上海
十味,当我们打开新世界的大门，总有一束光会照在我们脸上,4,0,2024/3/17,湖南
进食的岳父,荡漾在水波和电波之声。,4,0,2023/8/17,上海
标签,“浪漫倾向-创造力”之间的联系还是蛮有趣的，对同性恋和无性恋议题的触碰有些太暧昧了，更大胆一点或许观感会更好。,3,0,2023/10/31,湖南
kamuis,烂,1,0,2023/11/26,山东
大年猫,with C  /  喜歡顏料在水裡攪動的波光,4,0,2023/11/7,英国
momo,意外的还算工整，就普通的青春文艺片吧。,3,0,2024/2/27,浙江
西瓜太郎🍉,"#JFF线上影展
用较鲜活的笔触描绘了3位少女之间复杂但真诚的情感。画肖像永远对于我有一种莫名的张力。
但是真的不是很想看两个丑娃娃谈恋爱，减一星。
名字起的真好",3,0,2023/9/13,山东
稠嘉宾,【1.5】存在太多直给的片段，创作者的意识几乎过分占据了角色的时间，刻意地营造定式的场景，匠气过重。过分单薄以至于刻意增加复杂性的意图过于明显，不过方舟的符号还算喜欢。,2,0,2023/10/28,中国澳门
奈特,名字挺新奇的老套日式青春片。,3,0,2023/11/29,浙江
冬客,【3.3】很日式啊，在青春期这种真诚迷茫而混沌的时期让同性和无性的恋情轻巧得犹如睡前闭眼前的烦恼，在拼拼凑凑的欢快乐声里找到自己的天职，一次溺水打破庸碌的日常学会了新的呼吸方式适应生活——既对旧有的拆分拼凑重组面对新的风浪。,3,0,2023/8/27,江苏
rapidgator,已存盘,3,1,2023/9/10,广东
西西,3.5⭐很文艺，有点意识流。个别镜头有点昭和感,3,0,2024/4/8,河北
我是黑撒,Portrait of a Lady in Water,3,0,2023/8/3,美国
正在贾想,【2023.10.5 JFF+ Online】在你的画里看见我。,3,0,2023/10/5,陕西
嗯嗯哦哦,大學生畢設（不是，典型低成本日系青春女本子電影,1,0,2023/9/9,上海
格力高外星人,音效很有意思 像Pink Floyd《Money》的开头,2,0,2024/3/19,福建
四點半睡著,有点无聊,3,0,2023/10/29,广东
面朝大海,"看了几集，
浪费时间。",2,2,2022/12/8,山东
亡灵侯,旁白真多余,3,5,2022/2/17,
神君圣皇,就是番外，和乡村爱情关系不大,3,0,2024/3/18,黑龙江
成成成eng,小段子 没啥意思 旁白很智障,3,0,2024/3/17,辽宁
灵境胡同,垃圾,1,2,2022/2/21,
韦伯纳斯,赵四进城，在穿搭上，我倒是觉得非常的新潮，看到不一样的赵四，我满心欢喜,4,0,2022/3/3,
仰望星空,太二了这剧，看得很尴尬，跟闹着玩似的，广坤叔去乐于助人有点假哈哈，很雷人的剧，多少有点biao,2,0,2024/2/5,辽宁
z悟忍,还可以，看了30多集，这种短剧挺有新意,5,2,2022/3/12,
Mesopotamia,可看性不高，就只能冲着赵四广坤去了,2,0,2022/9/22,广东
songamanda,乡村爱情的搞笑版，广坤的升级,3,0,2022/4/2,
我们的恨丶,浪费时间,1,3,2022/2/19,
柯南不侦探,尤其是赵四哥一出场，总是可以带来不一样的惊喜，他身上传递到的那种能量，更能够引起共鸣,3,0,2022/3/2,
唐僧家的猫,一分都不想给,1,2,2022/2/19,
Obi1Kenobi,这不就是My Name is Earl吗？出息了这是，知道抄不那么热门的美剧了，团队居然有人看过My Name is Earl是挺想不到的事,3,0,2022/2/28,
无敌大新新,画外音画蛇添足，太影响观看,2,0,2024/3/2,天津
热血超新星,看完乡爱1到15部没啥看的，就看了这个外传，这剧是乡村爱情外传，既然是外传，剧情跟正传没啥联系，剧情主要就是广坤因为中彩票想要做好人好事，然后拉上本剧新角色护士李红，新角色远方亲戚谢好帅，一起去道歉给人完成心愿，有一种甲方乙方私人订制的感觉，有几个乡村爱情老角色客串，赵四，王老七，刘英，永强娘，第八部司机杨光，大个儿，瓶底子，张中维，王云，刘英娘，也算不错，本身就是6分钟一集的短剧，不可能所有乡村爱情老角色来客串，来这么多不容易了，可惜没有刘能，不然喜剧效果更棒👍🏻，解说挺好的，吐槽到位，就是如果只是片头片尾解说还好，但是剧中人物好几次说的内容被解说覆盖了，其他都还好，值得一看，40集总共4个小时就很快看完了，挺搞笑的,5,2,2023/6/26,天津
A,不喜欢画外音,3,3,2022/2/17,
阿呆,看的想杀人😠,2,0,2022/2/28,
芊芊,我就是非常的纳闷啊，谢广坤做好事儿，为什么就没有人相信呢？,3,0,2022/3/2,
Mr刚刚,看到谢广坤和赵四组CP，我倒是很喜欢，这对CP感，可以说是非常强,3,0,2022/3/4,
日出Sunrise,一颗星给旁白的定场诗。,1,2,2022/3/13,
water0,你给我闭嘴，这句口头禅，真的是太有魔性啦，不得不说，这台词，朗朗上口,3,0,2022/3/2,
sskl1q,3分钟一集！做作浮夸辣眼睛，旁白BGM乱入啥也不是，就是让新员工练手混脸熟的，直接删除。,1,3,2022/2/18,
Annie,看到赵四和谢广坤的互动，融入了些许的情意在里面，的确可以擦出不一样的火花,4,0,2022/3/2,
pp,谢广坤和赵四之间的点点滴滴，在这部剧里面，都有更好的呈现出来,4,0,2022/3/4,
依然灬邪影,我万万没有想到谢广坤居然成了大好人，这完全超乎我的预期,3,0,2022/3/4,
hnanaer,进城之后的赵四，咋这么搞笑呢，每次看到他，就可以get到他浑身上下散发的搞笑细胞,3,0,2022/3/4,
＼i.丟ㄋ尓ヽ,赵四一出场，有很好的带动性，他的魅力值，直线上升,3,0,2022/3/4,
orange,尬住了,1,0,2022/4/20,
minibirder,冲着旁白给1星不多吧？,1,0,2023/2/20,上海
滴滴滴滴,拉垮剧情，垃圾旁白,1,1,2022/2/22,
momo(nini),昨天看完，首播就看了,5,0,2022/3/15,
常大状,烂俗,1,0,2022/4/29,
阿pat,旁白败好感  5分钟一集 剧情自然是乡村爱情式的拖沓 不喜,1,2,2022/2/17,
养只狐狸好成精,全新解说乡村爱情的方式亮了，不得不说，这样的剧情表达，更有新意,3,0,2022/3/3,
浅草罗衣,解说是在广坤熟的底线上蹦迪,3,0,2022/3/2,
我们在一起吧·,看到谢广坤突然成了一个大好人，我倒是有点不习惯，跟我有同感的人多么？,3,0,2022/3/4,
好好先生 ‍微信,好看,5,0,2023/12/28,辽宁
顽固的石头ミ,王老七和谢广坤之间的误会，总算解开了，他们的同框画面，也太温暖了,3,0,2022/3/4,
VAV_,刷新了我对短剧的认知和理解😅日内瓦，退钱,1,0,2022/2/23,
史前巨蛋,演喜剧真是信手拈来。但是最后10集不太好，加了个看着就别扭的角色。以后乡爱里能不能少点这些长相不讨喜的演员，比如还有刘能的干儿子。,4,0,2024/1/2,山西
Anthonyleecent,赵四和谢广坤的相处模式，我是看在眼里，原来他们还可以这样子相处,3,0,2022/3/4,
Toby  Tao,乡村爱情之短剧,3,0,2024/3/22,江苏
看风景的人,你给我闭嘴，这句口头禅，真的是太有魔性啦，不得不说，这台词，朗朗上口,3,0,2022/3/2,
闻杳汝.゜,非常真实。原著人物的魂儿一个也没丢，但元素都换成我们耳熟能详的那些了。,3,0,2023/10/25,贵州
重布圭,看了12集,2,0,2022/7/18,
啊施哒( ´･ᴗ･` ),每集五分钟，快手剧。,2,0,2022/3/22,
maggie,这部剧，在情感的表达上，有自己独特的，特别细腻的一面,5,0,2022/3/4,
伞一桐（我自己,特别好看,5,0,2022/12/10,辽宁
大松鼠,纯乡爱粉简单看了一下，剧情和乡爱没有任何关系，只是用了一下人物名字和关系，乡村爱情这四个字就是蹭热度，剧情和时长综合来看不如你去刷短视频,2,1,2022/2/18,
Shylie.✨,这部剧是杨浩鸣和黄灿灿主演吗 封面虽然很简约 但从这部剧的剧名来看觉得这部剧肯定不错吧！倒是让我想起了《将军家的小娘子》😂,5,1,2022/10/2,山东
星倦.,仔仔～,4,0,2022/2/19,
沉安,期待小杨！,5,3,2021/12/14,
孝若涓尘,黄灿灿主演的电视，那必追啊,5,1,2024/1/23,四川
席雨,吕途联系上唐志军了吗,4,1264,2024/2/11,江苏
嘟嘟熊之父,摸准了大众在大银幕上所能接受的苦难最大值，非常“清醒”的导演。借用现实中的绝境，又完美避开了绝境中的一切黑暗，径直走向光明，已无法从这样泛化伤痛、回避私欲、用统一格式的善良归拢一切的电影中汲取到更多能量。两位演员的表演的确是标杆级的，希望他们横扫奖项，再心无旁骛地去演一部真正的爱情片。,3,730,2024/2/10,陕西
Disneyboy,韩延用同一个套路拍了三部绝症电影，我的天啊，没见过这么消费绝症病人的导演。,1,910,2024/2/10,北京
WIKI魏,"身边的人永远不会知道。我最近经常觉得好累，好苦，孤独，无助，绝望，喘不过气，成宿成宿失眠，身体疲惫得抖，头疼欲裂，但就是睡不着只能睁着眼看日出，时常觉得走到绝路，精神内耗严重。《我们一起摇太阳》两个主角我能懂他们的邋遢，因为得将所有的力气用来活着。结尾他们都从困境中冲了出来。
在开年的时候，这样一部电影，有了意义，大家可以来找些力量。当我们遇到生活的“阴霾”，往前走，挺一挺，得把太阳“摇醒”，可能会遇到同路人，可能会迎来转机。2024，新的开始，撒欢儿地活吧！",4,1936,2024/2/10,黑龙江
不留痕迹,韩延绝症三部曲最佳，素颜雀斑的李庚希和胡子拉碴的彭昱畅化学反应十足，比起小红花那一对的青靓白净实在像病人太多。对病痛的恐惧和对生活的向往都表现的不错，尤其领证和婚礼的段落，对一月刚步入婚姻殿堂的人来说宛如一颗核弹，到底还是he好看啊,4,1868,2024/2/10,江西
迷蟲朋克,一开始很纳闷两个人这么突破形象，原来这两个都是扮演重症患者，所以面色灰败。部分取材纪实报道，我查了一下新闻里最后两个人都得救了，真的是太好了。,4,1575,2024/2/10,湖北
weiwei1069,如果上的是五一档，可能至少会有10亿➕的成绩。,4,328,2024/2/12,北京
闵思嘉,这里很韩延的部分，是用情感、用关系，且不止是爱情去对抗生老病死。这些与病痛一起生长的爱欲和生命力，和韩延擅长的欢喜冤家模式一起，指向的是“不自由的身体”也可以拥有自由生活的正义性。于是他们可以幻想宇宙，也可以拥抱爱情。与之前不同的，韩延这次对主角“去病症美化”了，彭昱畅和李庚希没那么“美”，反而更贴近他们所属的群体。演员敢于在银幕上不美除了尊重角色本体之外，在这里还是一种从视觉上让观众体验到病症痛苦的通感表现。屋顶那个最终没升起来的太阳是全片高光点，那是没有太阳的日曜时刻。,4,915,2024/2/10,日本
momo,在一声声“奥利给”中逐渐崩溃😅🙏,3,801,2024/2/12,山东
居无间,韩延的“生命三部曲”终章，也是最成熟、最轻盈的一部。在视听上，影片有意识地提升了剪辑的速度，以呈现了病患焦灼的生活状态。在故事上，它延续了《滚蛋吧！肿瘤君》《送你一朵小红花》现实题材，将爱情拍成了一场奋不顾身的冒险。《我们一起摇太阳》的进阶之处在于，它把两个生命个体从冲撞到相融的过程刻画得更加清楚细腻和丝丝入扣。吕途运用自己的想象力将痛苦的生活描绘成一个魔幻世界，在细节的渲染与勾连下，天台对讲戏拥有了打通严酷现实与浪漫情境的魔力，感人至深。影片有如此动人的情感能量，彭昱畅和李庚希的表演功不可没。,4,754,2024/2/10,江苏
高詩遠,我最讨厌的导演之一这次居然拍出了如此优秀的片子，好多细节都直击人心，尤其是多次手机录像的使用，那么日常，却从没发现普通的一天原来如此有力量。开头的高速剪辑跟台词机关枪成功营造了与病魔分秒必争的感觉，给全片定了调，变焦用得尤其好，每一次屏幕突然放大都拉近了跟主角的距离，还像一把刀一样一次次往我心里扎。房间的布景能看出费了很多心思，李庚希好棒，演得太有神。如何让凌敏接受吕途这个“变态”是个难点，看到这儿的时候还担心，幸好没有被处理成烂俗爱情片，而是循序渐进地告诉观众她只能依赖他。不过韩延还是没有改掉过度煽情的臭毛病，任谁看半个多小时的哭戏都会感到累。好多网络破梗破坏气氛，听到这么多句“奥利给”真的哭不出来，怎么就不能学点好的。,4,127,2024/2/10,北京
张秀才味羊汤面,开头看着挽起头发，苍白病态的李庚希，恍惚中好像看见了《门徒》里的张静初，她会是下一个张静初吗？韩延讲故事的水平比前两部进步了，不那么矫揉做作了，或许是这部演员的加成——看一群老戏骨和演技派真是享受，把你搞得一会笑一会哭，这回的演员总算全员押对宝了。不知道为什么，看发福后的徐帆竟然没有小时候看《错爱》里的周佳丽那么让人咬牙切齿了，也许是因为“江湖一胖泯恩仇”吧！彭昱畅啊，趁早离湖南卫视那群综艺咖远点，你可是演过《大象席地而坐》的人；庚希啊，在最好的年纪南下吧，像张静初那样勇闯香港影坛，像刘雅瑟拿个影后凯旋归来。,5,1507,2024/2/10,湖北
天马星,比韩延之前的《滚蛋吧！肿瘤君》和《送你一朵小红花》要好，没搞那些悬浮的东西，讲的还是人与人的羁绊，这次好在苦情的东西少了许多，李庚希与彭昱畅两位的表演完全撑住了场子，如果不是他俩，这片子不会这么接地气。,4,614,2024/2/10,湖北
温岭阿浪,"以前看这类电影我没有太多感触，直到最近外公去世，这种故事就特别触动泪点。想起我外公，几十年来身体一直很健壮，12月忽然发现癌症，元旦后一个星期就没了。在他生命的最后一个月，我们都尽量多陪陪他，想着让老人家离去的时候起码是开心的。
也很庆幸这部电影是陪我女朋友和小姨子看的，而不是带我妈看，免得我妈再哭一场。
韩延的电影一向治愈，尤其是在这部影片中，他把自己擅长的技能都发挥得炉火纯青。一个严肃悲伤的选材，再以上轻松愉快的叙述给人希望，配上明亮的滤镜和怀旧的音乐，一起构成韩延导演的个人风格。幽默却不尬场，感动而不煽情。",5,939,2024/2/10,浙江
Me.Autistic,韩延真别再拿那不好笑的笑料、极度煽情的音乐和套路的剧情拍你那绝症电影了,2,659,2024/2/10,浙江
Mr. Infamous,不厌其烦地数算特殊人群的日常障碍，麻烦与麻烦，禁忌与禁忌，说得多了，快了，来不及讶异就已沉陷到那种现实的网格里。有时电影就是这样，把因为幸运方才陌生的他人生活推到面前，替你渡劫式地打通一些意想不到的脉络。最戳泪点的地方，不在他们哭，反在他们笑，领证后的陌生人祝福的婚宴，接待时顺势的游览，有那么多将错就错的畅快，那么多顺手拈来的快乐，尽兴得仿佛有今生没来世，高兴得明明眼里只有你一个开了花，却当是结了果，又生了根。花无百日红，可就是乱花渐欲迷人眼，看着他们在阴天雨天用意念摇出一小片晴天，就有种难过，或者说感怀，总觉得拥有了更多晴好，合该记住更多灿烂才是。戏剧化得来又很真实，流口水，拉肚子声音太大，百无禁忌地还原，就有了些院线片罕见的诚挚。这样的作品，能助彭昱畅和李庚希走到自己当下的表演高峰。,4,644,2024/2/10,广东
不良生,最打动我的是，电影里的彭昱畅与李庚希虽然灰头土脸、几乎全素颜，却不丧，不低沉，相反总是劲劲儿的，传递出一种强大的生命力与生理质感。在阳台上大声喊出“奥利给”，将旅行团过成婚礼现场，把“谢谢惠顾”的人生活成“再来一瓶”，两个各自有残缺的人相遇，聚集在一处取暖，人生就有了窸窸窣窣的细微光亮。像两株原本有阴影的植物，向着对方慷慨大方地摇出太阳，从此并肩作战茁壮生长，这是多么美好的人间喜事啊。,5,1038,2024/2/10,江苏
本来老六,"无论是李庚希还是彭昱畅，【意外】地变成了这部电影的太阳。
 
演员对于电影的破冰在于你要对角色的境遇休戚与共。你会觉得女孩的暴躁沮丧如此顺理成章，你会觉得男孩的神经鬼马的确因为善良。
 
生活如此不堪，经历如此难以为继。笑着走，哭着熬，你会跟着走入那冰凉的夜晚。走不下去了，活不下去了，还得走下去，还要活着摇出太阳。
 
她和他让我相信并且追随了这个旅程，不知不觉。",4,782,2024/2/10,上海
一摸一样,#标签太多了：尾随、跟踪、故意伤害、强行住进人家里、婚闹、喝尿、奥利给。是如何把这么多敏感元素全部加到男主角一个人身上的。并且你们结婚都这么随意且随便吗?女主身上的病无疾而终了？,3,612,2024/2/10,四川
武侠小王子,春节档最感人的一部，韩延对现实主义题材的驾驭能力依然在线，电影的后劲之大让我久久无法平静，哭着了离开电影院。李庚希饰演的凌敏在尿毒症中，对逆境的乐观、向死而生的勇气演绎得十分精彩。而最终和彭昱畅饰演的脑瘤患者一起结婚的场景，让我心痛且震撼。这场婚礼超越了世俗，多了许多庄重和神圣的意味。或许优秀故事就埋藏在我们身边，充斥于日常生活中。“摇太阳”完成了对生活的提炼和升华，并形成情绪共鸣，这才是电影最优秀之处。,4,629,2024/2/10,江苏
lament,彭昱畅演傻子真的有一手。,4,97,2024/3/28,北京
盲忙,如果苦难已经发生，那究竟怎样才是最佳的面对方式？绝境之中的他们，又该如何面对结局已知后的生活？看到三部曲的终章，我才终于明白，成为彼此心中的太阳，也许现实中的苦味就会淡那么一点点。片名中这几个字里面，最重要的其实是“一起”，爱情不是解药，却是最好的催眠剂，在至暗时刻来临之前，带着世界的善意活下去，也许这本身就是生命的意义吧。两位演员贡献了生涯最佳表演应该没有异议吧？不得不说，韩延的片子是很适合演员发挥的。,4,797,2024/2/10,山西
添衣,彭彭本色出演 女主戏也很绝 票房黑马拭目以待 墙裂推荐！！！,5,978,2024/2/10,山东
我不想去远方啊,确实是三部曲最好的一部，以及青年组这次终于战胜了中老年组，李庚希彭昱畅实在太舒服太搭了。前半段近乎完美的观感，但是落点放在了彭做不做手术上，然后进入了一个一直想煽情但是煽不起来的状态，就有点疲了,4,63,2024/2/12,湖南
金姬酱,韩延的电影看多了真的审美疲劳，就这三板斧来回地抡，男女主的造型脏兮兮的，看得人极不舒服，春节为什么要上一部让观众不舒服的电影。,1,310,2024/2/10,北京
東東東東東,不如小红花，演员扮相太丑了,1,325,2024/2/10,重庆
李濛Lemon,原本严肃揪心的生命议题，因为两个年轻人的爱情而有了一抹亮色。阴差阳错的相遇，啼笑皆非的纠葛，生死不弃的誓约。随着人物经历逐渐铺展开来，一种温暖的力量感也逐渐蓄积起来并辐射屏幕内外。爱是多么美好的事，让我们牵手拥抱，证明我们曾具体地活过，让我们像冰原上的植物，勇敢熬过漫漫极夜，向阳而生。,4,795,2024/2/10,四川
以然,五星全给李庚希和彭昱畅，全靠演员撑起来的电影。抛开演员演技来讲，从剧作到导演功力都是一坨巧克力味的屎，充满网络烂梗和煽情mv。但是两个主角和几个配角都太好太好了，尤其是李庚希，开场五分钟就开始流眼泪，一直流到最后。中途最感动的反而是旅行社婚礼那段，最开心的戏哭得最惨。彭昱畅有一种梦回大象席地而坐的感觉，把人物的挣扎、纠结、痴傻和倔强全部表现出来了，呜呜呜呜不愧是我的彭昱畅T T（2.14在杭州万达二刷了路演，见到主演啦！彭昱畅好久不见瘦了好多哇！李庚希撒糖太用力了坐第一排愣是没抢到hhh）,5,630,2024/2/10,安徽
喻鸣,"“不高兴”是李庚希的舒适区，“没头脑”是彭昱畅的统治区。没头脑是用装傻来消解周围的伤害，不高兴是用冷脸对抗生活的暴击。虽然他脑子不灵光，爱你这事却很擅长；虽然她脾气不太好，却将你看得很重要。
一个拖着坏脑子一个顶俩坏肾，两人凑不出一条好命，却因彼此守护而手握最好的人生剧本。春节档唯一爱情片，婚礼份子钱我随了。",4,42,2024/2/10,江西
火口幸存者,韩延怎么总喜欢在电影里植入mv？,3,269,2024/2/10,湖北
7天,特别棒，又感人又温情好笑，好好哭。故事动人，从头到尾的戳人心。震惊于彭昱畅和李庚希的绝佳演绎，去横扫奖项吧，票房也要奥利给！同时希望此片可以推进器官捐献移植，让病人不再被歧视。故事关于爱情、亲情、社会关怀，场景真实，细节多，悲伤底色中给予大家振奋人心的力量，结局he，不用怕。大年初一一大早就去看了，出了电影院阳光正好，哇哦，摇到太阳啦。,5,677,2024/2/10,北京
nothing纳森,两个年轻人自然质朴的演绎了一出“没头脑”和“不高心”的欢喜治愈戏，在咯噔咯噔的现实面前，那些由《米店》荡漾开来的分分秒秒，就是洒向生活的些许温暖光斑，“爱人，你可感到明天已经来临”爱你就像爱生命，撑起彼此内心的太阳。,4,588,2024/2/10,山西
了不起的花轮君,选在竞争激烈的春节档上映是对影片口碑非常自信的，果然好电影不怕看！作为导演生命三部曲的最终章，延续了导演一贯的人文关怀，两个年轻人的一场向阳生命接力，最后因为真情有了一场he的人间喜事。用饱满的生活细节，细腻的刻画，生动表现了绝症患者对生存的渴望，不服输的蓬勃生命力和积极的人生态度，两位演员演技很自然，全程有笑有泪，温馨治愈。,4,576,2024/2/10,浙江
银敏悲,不如绝症三部曲的前两部拍的好，也不知道哪儿来的信心放春节档的。,1,183,2024/2/10,北京
jd2007,拍的什么玩意,1,150,2024/2/10,广东
